StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1.1,1.2,1.3,1.4,2.1,2.2,2.3,2.4,2.5,2.5_5_TEXT,2.6,2.7,2.7_6_TEXT,2.8,2.9,2.10,2.10_8_TEXT,2.11,2.11_7_TEXT,2.12,2.12_10_TEXT,2.13,2.13_7_TEXT,2.14,2.14_5_TEXT,2.15,2.16,2.16_7_TEXT,2.17,2.18,2.19,2.19,2.19,2.20,2.20_5_TEXT,2.21,2.21_9_TEXT,3.1,3.1_1_TEXT,3.2,3.2_8_TEXT,3.3,3.3_7_TEXT,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,3.13,3.13_8_TEXT,3.14,3.14_7_TEXT,3.15,3.16,3.16_6_TEXT,3.17,3.17_7_TEXT,3.18,3.19,3.20,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.10_1_TEXT,4.11,4.12,4.13,4.14,4.15,4.16,4.17,4.18,4.19,4.20,4.21,4.21_5_TEXT,4.22,5.23,4.24,4.25,4.26,4.27,4.28,4.29,4.30,5.1,5.1_5_TEXT,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.12,5.12_6_TEXT,5.13,5.14,5.15,5.16,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,7.9_6_TEXT,7.10,7.11,7.12,7.13,7.14,7.15,7.16,7.17,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9
2025-04-05 23:52:57,2025-04-06 00:06:07,IP Address,107.190.246.37,100,790,True,2025-04-06 00:06:08,R_7wBLKRtr97aLtDc,,,,,34.0648,-118.4414,anonymous,EN,001,62,06,19/03/2025,,Male,No,,,,Post secondary education,Christian,,I am unemployed and seeking a job,Married,Dung,,Sheet metal,,Shared pit latrine,,Public tap,,I buy water to bathe in my house,,6,Petty business,,2 meals,Homegrown,Rarely,Rarely,Daily,In the house,,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Yes, every day",No,,Yes,13-16 years old,"A small problem, a few people drink too much",Few,No,Witchcraft,,No,>18 years old,23-26 years old,After 23 years old,Don’t know,Yes,No,No,"No, the girls have to do more housework than the boys in the household",No,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Some days,Not at all,Not at all,Some days,Not at all,Some days,Not at all,Some days,Not at all
2025-04-06 00:06:22,2025-04-06 00:10:33,IP Address,107.190.246.37,100,251,True,2025-04-06 00:10:34,R_64QFUbVpZEXRpTj,,,,,34.0648,-118.4414,anonymous,EN,03,262,18,19/03/2025,21,Female,No,,,,Secondary 4,Christian,,I am unemployed and seeking a job,Single,Carpet,,Sheet metal,,Shared fresh life toilet,,Public tap,,I share a shower/bathing are with my neighbor,,5,Petty business,,2 meals,Purchased at market,Once or twice a week,Rarely,Daily,In the house,,Gas,,Yes,,Disposable pad,,Local market,,Sometimes,No,No,No,No,,,,Yes,My school,,,,Yes,Don't know,,Fear of judgment from their family or community,,Yes,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,No,No,,Yes,16-20 years old,"Large problem, many people drink too much",Few,No,Traumatic experience,,Yes,>18 years old,After 26 years old,After 23 years old,Yes,Yes,Yes,,"No, the girls have to do more housework than the boys in the household",No,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Some days,Nearly everyday,Not at all,Some days,Not at all,Nearly every day,Not at all,Some days,Some days
2025-04-06 11:34:42,2025-04-06 11:41:43,IP Address,207.151.52.247,100,421,True,2025-04-06 11:41:43,R_5ffqSXtzfYNnkxw,,,,,34.0322,-118.2836,anonymous,EN,001,61,06,19/03/2025,,Male,,,Government school,,,Pentecostal,,I am employed and in school,Widowed,Palm/bamboo,,Plastic,,Own flush/pour flush to piped sewer system,,Tube well or borehole,,I buy water to bathe in my house,,,Property income/landlords,,2 meals,Homegrown,,Once or twice a week,Never,,,Gas,,,,Disposable pad,,From a friend,,Rarely,,No,,Yes,,Yes,,,"My friends,My church",,"Yes, I am on the birth control pill",,Yes,At home,,The pregnancy was unintended,,No,No,Do not wish to answer,Not sure,,,,,,,Yes,,No,,,,,Yes,Yes,,Yes,,No,,Because of my age,,,Government health facility,Yes,,Yes,"Yes, it improved my mental health",No,,,,,,,,,Yes,,,Yes,6 months,,"By myself ",,,Yes,"Yes, it improved my mental health",Yes,Yes,Yes,,,,,,,,,,,Traumatic experience,,,,15-18 years old,15-18 years olf,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Neither agree nor disagree,Neither agree nor disagree,,More than half the days,,,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days
2025-04-06 11:42:06,2025-04-06 11:46:55,IP Address,207.151.52.247,100,289,True,2025-04-06 11:46:56,R_5gvBpHFwPNbPL6q,,,,,34.0322,-118.2836,anonymous,EN,001,67,06,19/03/2025,,Female,Yes,Primary 3,Government school,,,Christian,,I am unemployed and seeking a job,Single,"Earth, sand",,Mud,,Shared pit latrine,,Public tap,,I buy water to bathe in my house,,,Petty business,,3 meals,NGO support,Never,Rarely,Rarely,Outdoors,,Kerosene,,,,Cloth,,From a health clinic,,Rarely,,Yes,,Yes,,No,Do not wish to answer,,My parents,,"Yes, I use condoms",,Yes,At home,,The pregnancy was unintended,,No,,No,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,Yes,13-16 years old,,,,,,,,No,15-17 years old,19-22 years old,15-18 years olf,,,,,,,Agree,Agree,Agree,Disagree,,Strongly agree,Strongly agree,Some days,,Some days,Some days,Some days,,Some days,Some days,Not at all
2025-04-06 11:42:08,2025-04-06 11:50:45,IP Address,207.151.52.247,100,516,True,2025-04-06 11:50:45,R_50o6BNAbVKIRY16,,,,,34.0322,-118.2836,anonymous,EN,04,347,22,19/03/2025,15,Male,Yes,Secondary 2,,,,Christian,,I am in school only,Single,"Earth, sand",,Sheet metal,,Shared flush/pour flush to latrine,,Public tap,,I share a shower/bathing are with my neighbor,,5,Relatives/Remittances,,3 meals,Purchased at market,Daily,Rarely,Daily,In the house,,Coal/Charcoal,,No,,,,,,,,,,No,,No,,No,,,I am not sexually active,,No,Don't know,,They do not have support to raise a child,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,No,No,,No,,Don’t know,Few,No,Traumatic experience,,,Don't know,Don’t know,,Yes,Yes,,Yes,"No, the girls have to do more housework than the boys in the household",Yes,Agree,Agree,,Disagree,Agree,Disagree,Disagree,More than half the days,Some days,More than half the days,Some days,Some days,Some days,Some days,Some days,More than half the days
2025-04-06 11:51:07,2025-04-06 11:56:35,IP Address,207.151.52.247,100,327,True,2025-04-06 11:56:36,R_57khpy5Pcf3cZpv,,,,,34.0322,-118.2836,anonymous,EN,03,268,18,19/03/2025,21,Female,,,,,Secondary 4,Muslim,,I am unemployed and seeking a job,Single,Carpet,,Sheet metal,,Shared flush/pour flush to piped sewer system,,Public tap,,I share a shower/bathing are with my neighbor,,,Wage employment,,2 meals,Purchased at market,Daily,Daily,Daily,In the house,,Gas,,Yes,,Disposable pad,,Local market,,Sometimes,Yes,Yes,Yes,No,,,,Yes,My school,,,,No,,,Fear of judgment from their family or community,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,No,,No,,"Large problem, many people drink too much",Few,No,Witchcraft,,Yes,>18 years old,After 26 years old,After 23 years old,Yes,Yes,Yes,Yes,"No, the girls have to do more housework than the boys in the household",No,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Not at all,Not at all,Some days,Some days,Some days,Not at all,Some days,Not at all,Not at all
2025-04-06 13:52:47,2025-04-06 13:56:11,IP Address,207.151.52.247,100,203,True,2025-04-06 13:56:12,R_5xGcpkSbZk4wKkb,,,,,34.0322,-118.2836,anonymous,EN,03,269,18,19/03/2025,21,Male,Yes,,,,Post secondary education,Christian,,I am in school only,Single,Cement,,Sheet metal,,Shared flush/pour flush to piped sewer system,,Public tap,,I buy water to bathe in my house,,4,"Organizational support (food aid, NGO, etc)",,1 meal,NGO support,Once or twice a week,Once or twice a week,Daily,In the house,,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do not wish to answer,No,Do not wish to answer,Yes,No,No,Do not wish to answer,Yes,16-20 years old,"Large problem, many people drink too much",Most,Yes,Traumatic experience,,Yes,Don't know,Don’t know,,Yes,Yes,Yes,Don't Know,"Yes, we all have the same amount of work",Yes,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Not at all,Some days,Not at all,Some days,Not at all,Some days,More than half the days,Some days,Not at all
2025-04-06 14:31:24,2025-04-06 14:36:27,IP Address,76.175.116.92,100,302,True,2025-04-06 14:36:28,R_6bTS3hfL6KQHvM0,,,,,34.0068,-118.2562,anonymous,EN,03,246,17,19/03/2025,30,Female,No,,,,,Christian,,I am unemployed and seeking a job,Single,Dung,,Sheet metal,,Shared fresh life toilet,,Public tap,,I pay to use a public shower/bathing facility,,1,Relatives/Remittances,,3 meals,Purchased at market,Rarely,Once or twice a week,Daily,In the house,,Coal/Charcoal,,Yes,,Disposable pad,,"Other, please specify",buying,Sometimes,No,Yes,Sometimes,,,,,No,I have not received any education,,Do not wish to answer,,No,Don't know,,They do not have support to raise a child,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,No,No,,No,,"A small problem, a few people drink too much",None of them,No,Traumatic experience,,No,>18 years old,After 26 years old,After 23 years old,Yes,Yes,No,,Don’t know,No,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Some days,Some days,Some days,Some days,Some days,Some days,Some days,Some days,Some days
2025-04-06 14:36:34,2025-04-06 14:42:05,IP Address,76.175.116.92,100,331,True,2025-04-06 14:42:06,R_3fiFD6whgFsMR8X,,,,,34.0068,-118.2562,anonymous,EN,03,247,17,19/03/2025,53,Female,No,,,,,Christian,,I am employed,Widowed,Dung,,Sheet metal,,Shared pit latrine,,Public tap,,I buy water to bathe in my house,,8,Petty business,,2 meals,Purchased at market,Rarely,Once or twice a week,Daily,In the house,,Coal/Charcoal,,No,,,,,,,,,,Do not wish to answer,,Do not wish to answer,Do not wish to answer,No,I have not received any education,,Do not wish to answer,,No,Don't know,,They do not have support to raise a child,,No,No,No,No,,,,,,,Yes,15,No,,4,Yes,30,No,No,Yes,No,No,No,No,Because of my age,,No,Government health facility,Yes,No,Yes,"No, being pregnant did not affect my mental health",No,No,No,At home,,No,Yes,Yes,Yes,No,No,No,No,6 months,Yes,With my parents,,Yes,No,"No, having a child(ren) did not affect my mental health",I do not wish to answer,No,No,,,,,,,,,,,Traumatic experience,,Yes,>18 years old,After 26 years old,After 23 years old,Yes,Yes,Yes,No,"Yes, we all have the same amount of work",No,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Some days,Some days,Some days,Some days,Some days,Some days,Some days,Some days,Some days
2025-04-06 14:42:21,2025-04-06 14:53:02,IP Address,76.175.116.92,100,640,True,2025-04-06 14:53:03,R_10BIOd5zVM458n7,,,,,34.0068,-118.2562,anonymous,EN,03,248,17,19/03/2025,50,Female,No,,,,,Christian,,I am unemployed and not seeking a job,Married,Dung,,Sheet metal,,Shared flush/pour flush to latrine,,Public tap,,I buy water to bathe in my house,,6,Relatives/Remittances,,3 meals,Purchased at market,Rarely,Once or twice a week,Daily,In the house,,Coal/Charcoal,,No,,,,,,,,,,,,,,,I have not received any education,,,,No,Don't know,,Fear of judgment from their family or community,,No,No,No,No,,,,,,,Yes,19,No,,,No,37,No,No,No,No,Yes,Yes,No,,,Yes,Government health facility,Yes,Yes,No,"No, being pregnant did not affect my mental health",No,No,No,Government health facility,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Longer than 1 year,Yes,With my partner,,Yes,No,"No, having a child(ren) did not affect my mental health",No,No,No,,,,,,,,,,,,,Yes,>18 years old,After 26 years old,After 23 years old,Yes,Yes,No,No,"Yes, we all have the same amount of work",Yes,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Some days,Some days,Some days,Some days,Some days,Some days,Some days,Some days,Some days
2025-04-06 14:57:04,2025-04-06 15:04:17,IP Address,76.175.116.92,100,433,True,2025-04-06 15:04:18,R_3dEAxUQ0DGSy9YP,,,,,34.0068,-118.2562,anonymous,EN,03,249,27,19/03/2025,27,Female,,,,,,Christian,,I am unemployed and not seeking a job,Married,Dung,,Sheet metal,,Shared flush/pour flush to latrine,,Public tap,,I buy water to bathe in my house,,4,Petty business,,3 meals,Purchased at market,Rarely,Once or twice a week,Daily,In the house,,Gas,,Yes,,Disposable pad,,Local market,,Rarely,Yes,,Yes,,,,,No,,,,,No,Don't know,,Fear of judgment from their family or community,,No,No,No,No,,,,,,,Yes,20,No,,2,No,7,No,No,No,Yes,Yes,Yes,No,Because of my age,,Yes,Government health facility,No,No,No,"No, being pregnant did not affect my mental health",No,No,No,Government health facility,,No,Yes,No,No,Yes,Yes,No,Yes,Longer than 1 year,No,With my partner,,Yes,I did not have to leave school or my job when I got pregnant,"No, having a child(ren) did not affect my mental health",I do not wish to answer,No,No,,,,,,,,,,,Traumatic experience,,No,>18 years old,23-26 years old,After 23 years old,Yes,Yes,Yes,No,"Yes, we all have the same amount of work",Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Some days,Some days,Some days,Some days,Some days,Some days,Some days,Some days,Some days
2025-04-06 15:04:26,2025-04-06 15:14:26,IP Address,76.175.116.92,100,600,True,2025-04-06 15:14:27,R_1sAh1s8DaRpinOG,,,,,34.0068,-118.2562,anonymous,EN,03,250,17,19/03/2025,18,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06 15:14:29,2025-04-06 15:15:38,IP Address,76.175.116.92,100,69,True,2025-04-06 15:15:39,R_5hd6syE9wXL6mdP,,,,,34.0068,-118.2562,anonymous,EN,03,251,17,19/03/2025,19,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06 15:15:49,2025-04-06 15:18:43,IP Address,76.175.116.92,100,174,True,2025-04-06 15:18:44,R_5q9vOAuGWFYsxnn,,,,,34.0068,-118.2562,anonymous,EN,03,244,17,19/03/2025,14,Male,Yes,Secondary 1,Private school,,,Christian,,,,Dung,,Sheet metal,,Shared pit latrine,,Public tap,,I buy water to bathe in my house,,12,Petty business,,2 meals,Purchased at market,Once or twice a week,Once or twice a week,Daily,In the house,,Coal/Charcoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,,,,,,,,,
2025-04-06 15:18:55,2025-04-06 15:20:21,IP Address,76.175.116.92,100,86,True,2025-04-06 15:20:21,R_5dht7oLwGEhAYlr,,,,,34.0068,-118.2562,anonymous,EN,03,243,17,19/03/2025,18,Male,,,,,,Christian,,,,,,Sheet metal,,Shared pit latrine,,Public tap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06 14:01:54,2025-04-06 16:07:02,IP Address,207.151.52.247,100,7507,True,2025-04-06 16:07:02,R_3ZIlQLuZX4JNRkc,,,,,34.0322,-118.2836,anonymous,EN,02,124,09,19/03/2025,18,Male,No,,,,Post secondary education,Christian,,I am in school only,Single,Carpet,,,,,,,,My household has a shower/bathing area,,3,Wage employment,,More than 3 meals,Purchased at market,Daily,Daily,Never,I buy food outside of my house,,Gas,,No,,,,,,,,,,Yes,16,No,Because of peer pressure,No,,,"Yes, I use condoms",,Yes,At a traditional healer,,They wanted to stay in school,,Yes,No,No,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,No,No,,Yes,16-20 years old,"A small problem, a few people drink too much",Don't know,No,Traumatic experience,,No,15-17 years old,After 26 years old,After 23 years old,Yes,Don’t know,Yes,Yes,"Yes, we all have the same amount of work",No,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Some days,Not at all,More than half the days,Nearly every day,Not at all,Some days,Not at all,Not at all,
2025-04-06 16:11:48,2025-04-06 16:29:29,IP Address,207.151.52.247,100,1060,True,2025-04-06 16:29:29,R_3tA5EJFcwapMz4Z,,,,,34.0322,-118.2836,anonymous,EN,04,321,21,18/03/2025,19,Female,,,,,Post secondary education,Christian,,I am unemployed and seeking a job,Single,Cement,,Cement,,Shared flush/pour flush to piped sewer system,,Piped water into dweling,,I pay to use a public shower/bathing facility,,2,Petty business,,1 meal,Purchased at market,Rarely,Rarely,Daily,In the house,,Gas,,Yes," 16",Disposable pad,,Local market,,Sometimes,Yes,Yes,Yes,Yes,,No,For pleasure,No,,,"Yes, I use condoms,Yes, I am on the birth control pill,Yes, I track my menstrual cycle",,No,Don't know,,Do not wish to answer,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,No,,"Large problem, many people drink too much",Don't know,Yes,"Witchcraft,God’s will,Chemicals/hormone imbalances in the body,Traumatic experience",,No,Don't know,23-26 years old,19-22 years old,Yes,Yes,No,No,"Yes, we all have the same amount of work",No,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Some days,Some days,Some days,Some days,Some days,Some days,Some days,Some days,Some days
2025-04-06 15:20:24,2025-04-06 16:44:27,IP Address,76.175.116.92,100,5043,True,2025-04-06 16:44:29,R_7Ab5ypTUSb4jDd7,,,,,34.0068,-118.2562,anonymous,EN,03,242,17,19/03/2025,16,Female,,Secondary 3,Government school,,,Christian,,,,Dung,,Sheet metal,,Shared pit latrine,,Public tap,,,,8,Petty business,,2 meals,Purchased at market,Rarely,Once or twice a week,Daily,In the house,,Coal/Charcoal,,Yes,,Disposable pad,,From an NGO,,Sometimes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06 16:44:31,2025-04-06 16:50:30,IP Address,76.175.116.92,100,358,True,2025-04-06 16:50:31,R_1Om0An8flwJU7jF,,,,,34.0068,-118.2562,anonymous,EN,06,521,33,19/03/2025,30,Female,No,,,,,Christian,,I am unemployed and seeking a job,Married,Carpet,,Sheet metal,,Shared fresh life toilet,,Public tap,,I buy water to bathe in my house,,2,Wage employment,,2 meals,Purchased at market,Once or twice a week,Once or twice a week,Daily,In the house,,Coal/Charcoal,,Yes,18,Disposable pad,,Local market,,Sometimes,Yes,Yes,Sometimes,Yes,21,No,For pleasure,Yes,"My parents,My church",,"Yes, I use condoms",,No,,,"The pregnancy was unintended,Family pressure,Fear of judgment from their family or community",,Yes,No,Do not wish to answer,Yes,,,,,,No,Yes,26,No,,,No,4 yrs,No,No,No,No,Yes,No,No,,,Yes,Government health facility,Yes,Yes,No,"No, being pregnant did not affect my mental health",No,No,No,Government health facility,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Longer than 1 year,Yes,With my partner,,No,No,"Yes, it negatively impacted my mental health",Yes,Yes,No,Yes,Yes,No,No,,No,,"Large problem, many people drink too much",Few,No,"Traumatic experience,Family history",,Yes,>18 years old,23-26 years old,After 23 years old,Yes,Yes,Yes,No,"No, the girls have to do more housework than the boys in the household",Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Some days,Some days,Some days,Some days,Some days,Not at all,Some days,Some days,Not at all
2025-04-06 16:50:37,2025-04-06 16:53:55,IP Address,76.175.116.92,100,197,True,2025-04-06 16:53:55,R_6HNSAIk6QgO68aY,,,,,34.0068,-118.2562,anonymous,EN,06,525,33,19/03/2025,19,Male,Yes,,Government school,,,Christian,,I am unemployed and seeking a job,Single,Cement,,Sheet metal,,Shared flush/pour flush to latrine,,Public tap,,I buy water to bathe in my house,,5,Wage employment,,1 meal,Purchased at market,Once or twice a week,Once or twice a week,Daily,In the house,,Coal/Charcoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,No,,No,,"Large problem, many people drink too much",Few,No,Traumatic experience,,Yes,>18 years old,23-26 years old,After 23 years old,Yes,Yes,Yes,No,"Yes, we all have the same amount of work",No,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Some days,Not at all,Some days,Some days,Some days,Not at all,Not at all,Not at all,Not at all
2025-04-06 16:54:45,2025-04-06 16:58:56,IP Address,76.175.116.92,100,251,True,2025-04-06 16:58:57,R_1S8foxOT5r2exsR,,,,,34.0068,-118.2562,anonymous,EN,06,524,33,19/03/2025,18,Male,,,,,Secondary 4,Christian,,I am unemployed and seeking a job,Divorced,Cement,,Sheet metal,,Shared fresh life toilet,,Public tap,,My household has a shower/bathing area,,1,Wage employment,,2 meals,Purchased at market,Daily,Once or twice a week,Daily,In the house,,Coal/Charcoal,,,,,,,,,,,,Yes,18,Yes,For pleasure,Yes,From an NGO,,"Yes, I use condoms",,No,,,They cannot afford a child,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,"Yes, 1-3 times a week",Yes,16-20 years old,Yes,16-20 years old,"Large problem, many people drink too much",Most,Yes,"Traumatic experience,Family history",,Yes,>18 years old,After 26 years old,After 23 years old,Yes,Yes,Yes,No,,No,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Some days,Some days,Some days,Some days,Some days,Some days,Some days,Not at all,Not at all
2025-04-06 16:59:09,2025-04-06 17:03:39,IP Address,76.175.116.92,100,269,True,2025-04-06 17:03:40,R_50uUEOJE2W8OMGM,,,,,34.0068,-118.2562,anonymous,EN,06,523,33,,22,Male,No,,,,Secondary 4,Christian,,I am unemployed and seeking a job,Single,Cement,,Sheet metal,,Shared fresh life toilet,,Public tap,,My household has a shower/bathing area,,1,Wage employment,,2 meals,Purchased at market,Once or twice a week,Never,Daily,In the house,,Coal/Charcoal,,,,,,,,,,,,Yes,17,Do not wish to answer,For pleasure,No,,,"Yes, I use condoms",,No,,,They cannot afford a child,,Yes,Do not wish to answer,Do not wish to answer,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,"Yes, every day",Yes,16-20 years old,Yes,16-20 years old,"Large problem, many people drink too much",All,Yes,Family history,,Yes,15-17 years old,After 26 years old,15-18 years olf,Yes,Yes,Yes,No,"No, boys have to do more housework than the girls in the household",Yes,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Some days,Some days,Not at all,Some days,Some days,Some days,Some days,Some days,Not at all
2025-04-06 17:03:51,2025-04-06 17:09:28,IP Address,76.175.116.92,100,336,True,2025-04-06 17:09:29,R_54q3dUMC3xxf3Cp,,,,,34.0068,-118.2562,anonymous,EN,06,522,33,19/03/2025,26,Female,No,,,,Secondary 4,Christian,,I am unemployed and seeking a job,Married,Cement,,Wood/planks,,Shared fresh life toilet,,Public tap,,I buy water to bathe in my house,,3,Wage employment,,3 meals,Purchased at market,Once or twice a week,Once or twice a week,Daily,In the house,,Coal/Charcoal,,Yes,16,Disposable pad,,Local market,,Sometimes,Yes,No,Sometimes,Yes,24,No,Do not wish to answer,Yes,From an NGO,,"No, I do not use protection",,No,,,Fear of judgment from their family or community,,Yes,Yes,Do not wish to answer,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,24,No,,,Yes,5 yrs,No,No,Yes,Yes,No,No,No,,,Yes,NGO,Yes,,Yes,,No,No,No,Government health facility,,Yes,No,No,Yes,Yes,Yes,No,Yes,Longer than 1 year,No,With my partner,,Yes,Yes,"Yes, it negatively impacted my mental health",Yes,Yes,No,Yes,No,No,No,,No,,"Large problem, many people drink too much",Few,Don't know,"Traumatic experience,Family history",,No,Don't know,After 26 years old,After 23 years old,Yes,Yes,Yes,No,"Yes, we all have the same amount of work",Yes,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Not at all,Some days,Some days,Some days,Some days,Some days,Some days,Some days,Not at all
2025-04-07 16:39:36,2025-04-07 18:53:24,IP Address,107.190.246.37,100,8028,True,2025-04-07 18:53:24,R_3WOxQgUZOzvLXzF,,,,,34.0322,-118.2836,anonymous,EN,03,232,15,20/03/2025,18,Female,No,,,,,Christian,,I am unemployed and not seeking a job,Single,Cement,,Sheet metal,,Shared fresh life toilet,,Public tap,,I pay to use a public shower/bathing facility,,,Wage employment,,2 meals,Purchased at market,Daily,,,In the house,,Electricity,,Yes,12,Disposable pad,,Local market,,Often,Yes,Yes,No,No,,No,,No,,,I am not sexually active,,Yes,Don't know,,Fear of judgment from their family or community,,Yes,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,"Yes, every day",No,,No,,"Large problem, many people drink too much",None of them,Yes,Family history,,Yes,>18 years old,23-26 years old,After 23 years old,Yes,Yes,Yes,No,"No, the girls have to do more housework than the boys in the household",No,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Disagree,Some days,Some days,More than half the days,Some days,Some days,More than half the days,Not at all,Not at all,Not at all
